lot_id,lot_name,lot_type,lot_status
0001,g2a,commuter,open
0002,g2b,commuter,open
0003,g4,commuter,open
0004,g16,commuter,open
0005,g17,commuter,open
0006,g19,commuter,open
0007,g7,residential,open
0008,g11,residential,open
0009,g12,residential,open
0010,g12a,residential,open
0011,g13a,residential,open
0012,g13b,residential,open
0013,g13c,residential,open
0014,g20,residential,open
0015,gs1,residential,open
0016,g1,staff,open
0017,g3,staff,open
0018,g6,staff,open
0019,g8,staff,open
0020,g15,staff,open
0021,gc2,staff,open
0022,gc3,staff,open